Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2019,Sumatera Barat,Kab. Pesisir Selatan,82.50,14.00,24.70,1.00,13.00,3.00,
2019,Sumatera Barat,Kab. Sijunjung,13.60,8.40,9.60,1.20,1.00,0.60,
2019,Sumatera Barat,Kab. Tanah Datar,88.30,0.28,17.75,1.54,12.27,,
2019,Sumatera Barat,Kab. Agam,,,,,,,
2019,Sumatera Barat,Kab. Pasaman,51.01,4.49,12.81,3.78,0.88,,13.60
2019,Sumatera Barat,Kab. Dharmasraya,82.13,2.29,0.62,,0.09,,11.20
2019,Sumatera Barat,Kota Padang,450.00,14.94,90.00,21.24,47.07,8.00,9.00
2019,Sumatera Barat,Kota Solok,29.26,1.27,15.78,0.44,1.28,0.06,1.62
2019,Sumatera Barat,Kota Sawahlunto,,,,,,,
2019,Sumatera Barat,Kota Padang Panjang,34.88,0.36,6.77,1.53,1.72,,0.96
2019,Sumatera Barat,Kota Bukittinggi,,,,,,,
2019,Sumatera Barat,Kota Payakumbuh,65.09,0.72,17.18,10.38,3.16,0.32,0.53
2019,Riau,Kab. Kampar,,,,,,,
2019,Riau,Kab. Pelalawan,,,,,,,
2019,Riau,Kab. Rokan Hilir,195.00,3.55,89.00,101.60,4.80,20.00,82.50
2019,Riau,Kab. Siak,17.40,4.50,7.00,2.00,4.30,2.80,1.00
2019,Riau,Kota Pekanbaru,,,,,,,
2019,Jambi,Kab. Merangin,20.00,5.00,11.00,5.00,4.27,3.00,2.00
2019,Jambi,Kab. Sarolangun,,,,,,,
2019,Jambi,Kab. Batanghari,74.85,1.20,29.00,3.00,2.50,2.00,8.30
2019,Jambi,Kab. Muaro Jambi,,,,,,,
2019,Jambi,Kab. Bungo,6.72,1.53,67.06,1.32,0.98,2.45,65.78
2019,Jambi,Kota Jambi,,,,,,,
2019,Jambi,Kota Sungai Penuh,,,,,,,
2019,Sumatera Selatan,Kab. Ogan Komering Ulu,,,,,,,
2019,Sumatera Selatan,Kab. Muara Enim,17.27,1.13,5.14,2.12,1.02,1.81,
2019,Sumatera Selatan,Kab. Lahat,95.10,20.80,95.10,38.60,17.80,17.90,18.10
2019,Sumatera Selatan,Kab. Musi Rawas,256.19,0.10,13.36,1.12,1.17,0.18,11.50
2019,Sumatera Selatan,Kab. Musi Banyuasin,143.05,12.77,20.44,25.55,12.77,17.88,22.99
2019,Sumatera Selatan,Kab. Empat Lawang,139.36,0.08,35.00,0.49,0.01,0.08,0.14
2019,Sumatera Selatan,Kota Palembang,697.20,5.90,81.40,34.50,107.00,23.10,235.30
2019,Sumatera Selatan,Kota Prabumulih,52.76,3.60,19.86,12.44,2.47,0.98,1.31
2019,Bengkulu,Kab. Bengkulu Selatan,14.00,2.00,2.50,2.40,1.00,1.00,2.00
2019,Bengkulu,Kab. Bengkulu Utara,44.10,9.00,19.00,7.00,6.00,2.00,13.00
2019,Bengkulu,Kab. Lebong,,,,,,,
2019,Bengkulu,Kab. Kepahiang,15.00,1.00,10.00,1.10,1.00,1.00,1.40
2019,Bengkulu,Kab. Bengkulu Tengah,33.89,6.93,10.38,3.46,2.59,,
2019,Lampung,Kab. Lampung Barat,6.30,1.80,3.20,1.82,1.30,,
2019,Lampung,Kab. Way Kanan,313.59,0.65,5.40,0.42,0.04,0.00,141.35
2019,Lampung,Kab. Pringsewu,6.00,0.60,4.00,1.50,1.00,0.50,1.00
2019,Lampung,Kota Bandar Lampung,410.10,68.30,102.50,20.50,41.00,13.70,27.30
2019,Lampung,Kota Metro,41.00,12.30,20.50,12.30,8.20,5.13,3.08
2019,Kepulauan Bangka Belitung,Kab. Bangka,79.04,6.37,16.57,8.92,3.82,5.10,7.65
2019,Kepulauan Bangka Belitung,Kab. Bangka Selatan,59.00,2.46,5.50,2.87,9.28,6.21,0.36
2019,Kepulauan Bangka Belitung,Kab. Bangka Tengah,28.60,2.57,17.78,16.55,12.07,0.06,0.79
2019,Kepulauan Bangka Belitung,Kota Pangkal Pinang,,,,,,,
